nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
13,0,0,0,0,737,532,0,0,0,0
14,0,0,0,0,734,531,0,0,0,0
15,0,0,0,0,732,531,0,0,0,0
0,0,0,0,0,728,532,0,0,0,0
1,0,0,0,0,724,532,0,0,0,0
2,0,0,0,0,721,532,0,0,0,0
3,0,0,0,0,718,531,0,0,0,0
4,0,0,0,0,716,531,0,0,0,0
5,0,0,0,0,712,531,0,0,0,0
6,0,0,0,0,709,530,0,0,0,0
7,0,0,0,0,705,529,0,0,0,0
8,0,0,0,0,702,529,0,0,0,0
9,0,0,0,0,699,529,0,0,0,0
10,0,0,0,0,696,530,0,0,0,0
11,0,0,0,0,692,531,0,0,0,0
12,0,0,0,0,689,531,0,0,0,0
13,0,0,0,0,686,532,0,0,0,0
14,0,0,0,0,683,532,0,0,0,0
15,0,0,0,0,679,533,0,0,0,0
0,0,0,0,0,676,534,0,0,0,0
1,0,0,0,0,672,533,0,0,0,0
2,0,0,0,0,669,533,0,0,0,0
3,0,0,0,0,666,532,0,0,0,0
4,0,0,0,0,663,531,0,0,0,0
5,0,0,0,0,659,531,0,0,0,0
6,0,0,0,0,655,530,0,0,0,0
7,0,0,0,0,653,531,0,0,0,0
8,0,0,0,0,650,530,0,0,0,0
9,0,0,0,0,647,528,0,0,0,0
10,0,0,0,0,643,528,0,0,0,0
11,0,0,0,0,641,527,0,0,0,0
12,0,0,0,0,637,527,0,0,0,0
13,0,0,0,0,634,528,0,0,0,0
14,0,0,0,0,632,529,0,0,0,0
15,0,0,0,0,628,529,0,0,0,0
0,0,0,0,0,625,529,0,0,0,0
1,0,0,0,0,622,529,0,0,0,0
2,0,0,0,0,619,530,0,0,0,0
3,0,0,0,0,616,530,0,0,0,0
4,0,0,0,0,613,530,0,0,0,0
5,0,0,0,0,610,530,0,0,0,0
6,0,0,0,0,608,531,0,0,0,0
7,0,0,0,0,605,532,0,0,0,0
8,0,0,0,0,602,531,0,0,0,0
9,0,0,0,0,600,531,0,0,0,0
10,0,0,0,0,596,531,0,0,0,0
11,0,0,0,0,595,531,0,0,0,0
12,0,0,0,0,592,531,0,0,0,0
13,0,0,0,0,589,531,0,0,0,0
14,0,0,0,0,587,530,0,0,0,0
15,0,0,0,0,585,530,0,0,0,0
0,0,0,0,0,583,530,0,0,0,0
1,0,0,0,0,580,529,0,0,0,0
2,0,0,0,0,578,529,0,0,0,0
3,0,0,0,0,575,528,0,0,0,0
4,0,0,0,0,573,528,0,0,0,0
5,0,0,0,0,571,528,0,0,0,0
6,0,0,0,0,569,527,0,0,0,0
7,0,0,0,0,568,527,0,0,0,0
8,0,0,0,0,566,528,0,0,0,0
9,0,0,0,0,563,528,0,0,0,0
10,0,0,0,0,562,529,0,0,0,0
11,0,0,0,0,560,528,0,0,0,0
12,0,0,0,0,558,528,0,0,0,0
13,0,0,0,0,556,527,0,0,0,0
14,0,0,0,0,555,526,0,0,0,0
15,0,0,0,0,553,526,0,0,0,0
0,0,0,0,0,551,525,0,0,0,0
1,0,0,0,0,550,526,0,0,0,0
2,0,0,0,0,548,527,0,0,0,0
3,0,0,0,0,547,527,0,0,0,0
4,0,0,0,0,545,528,0,0,0,0
5,0,0,0,0,544,528,0,0,0,0
